index,jempol_kanan, x_jempol_kanan, y_jempol_kanan, z_jempol_kanan, telunjuk_kanan, x_jempol_kanan, y_jempol_kanan, z_jempol_kanan, tengah_kanan, x_jempol_kanan, y_jempol_kanan, z_jempol_kanan, manis_kanan, x_manis_kanan, y_manis_kanan, z_manis_kanan, kelingking_kanan, x_kelingking_kanan, y_kelingking_kanan, z_kelingking_kanan, jempol_kiri, x_jempol_kiri, y_jempol_kiri, z_jempol_kiri, telunjuk_kiri, x_telunjuk_kiri, y_telunjuk_kiri, z_telunjuk_kiri, tengah_kiri, x_tengah kiri, y_tengah_kiri, z_tengah_kiri, manis_kiri, x_manis_kiri, y_manis_kiri, z_manis_kiri, kelingking_kiri, x_kelingking_kiri, y_kelingking_kiri, z_kelingking_kiri
1, 60.7426528931, -20.3381, -44.0985, -30.9451, 95.5250320435, -42.162, 4.11668, -81.951, 100.405960083, -11.6909, 0.43277, -95.8731, 95.6866149902, 20.1185, -8.09286, -89.1964, 87.7267990112, 47.0567, -26.2156, -64.6902, 69.6635360718, 60.7595, 17.0719, -18.2969, 99.8990859985, 45.236, 1.32764, -85.1855, 103.738143921, 29.084, -8.01297, -95.1301, 95.8818511963, 4.93065, -9.21727, -91.3547, 86.9827041626, -31.3389, -13.2869, -76.2075
1, 60.7482070923, -20.2978, -44.1496, -30.8998, 95.5264205933, -41.9986, 4.17809, -82.0346, 100.430389404, -11.5374, 0.507034, -95.9202, 95.7432403564, 20.3277, -7.97127, -89.2164, 87.7656097412, 47.1813, -26.137, -64.6868, 69.6617050171, 60.7365, 17.1213, -18.3099, 99.8971328735, 45.2027, 1.31055, -85.2006, 103.740074158, 29.0759, -8.08144, -95.1299, 95.8922653198, 4.92095, -9.30843, -91.356, 86.9954681396, -31.341, -13.4053, -76.2001
1, 60.7504997253, -20.3455, -44.1678, -30.8446, 95.5295715332, -41.8658, 4.28693, -82.1009, 100.450798035, -11.4301, 0.59967, -95.9585, 95.8008728027, 20.503, -7.83437, -89.2459, 87.8151626587, 47.2963, -26.0433, -64.7058, 69.6571121216, 60.7197, 17.1366, -18.3201, 99.892364502, 45.166, 1.26691, -85.2155, 103.740951538, 29.0824, -8.17856, -95.1218, 95.9163513184, 4.89833, -9.39519, -91.3682, 87.0108108521, -31.3433, -13.5213, -76.1949
1, 60.7465629578, -20.3659, -44.1943, -30.7898, 95.5281295776, -41.7336, 4.37088, -82.1648, 100.471694946, -11.328, 0.69986, -95.9958, 95.851020813, 20.6574, -7.70401, -89.2738, 87.8785858154, 47.472, -25.8606, -64.729, 69.6541976929, 60.71, 17.1411, -18.3303, 99.8917312622, 45.1231, 1.22482, -85.2362, 103.746154785, 29.0692, -8.27313, -95.123, 95.9366226196, 4.87162, -9.49097, -91.3771, 87.0280685425, -31.3561, -13.6284, -76.1883
1, 60.7468338013, -20.3724, -44.2371, -30.7242, 95.5191116333, -41.593, 4.39294, -82.2309, 100.492744446, -11.2005, 0.758743, -96.0358, 95.9050750732, 20.8388, -7.58385, -89.2963, 87.9205780029, 47.6175, -25.7054, -64.7446, 69.6452865601, 60.6923, 17.1589, -18.3262, 99.891784668, 45.0937, 1.19878, -85.2502, 103.750106812, 29.0669, -8.35036, -95.1216, 95.9565811157, 4.85747, -9.56564, -91.3872, 87.042427063, -31.3565, -13.7232, -76.1863
1, 60.747089386, -20.4485, -44.3388, -30.5268, 95.5115280151, -41.5185, 4.25941, -82.2718, 100.527809143, -11.1189, 0.651367, -96.0805, 95.9655380249, 20.9467, -7.67247, -89.3226, 87.9647979736, 47.6727, -25.7761, -64.7368, 69.6356277466, 60.7031, 17.0916, -18.3143, 99.8870925903, 45.1259, 1.06052, -85.2312, 103.763931274, 29.0677, -8.46001, -95.1232, 95.983581543, 4.85185, -9.65071, -91.4011, 87.0609588623, -31.3547, -13.8006, -76.1914
1, 60.746887207, -20.5576, -44.4296, -30.3208, 95.5049819946, -41.5061, 4.1557, -82.2799, 100.571746826, -11.1086, 0.619812, -96.123, 96.037689209, 21.0122, -7.66049, -89.3772, 88.0306625366, 47.7273, -25.7898, -64.7719, 69.6220092773, 60.7048, 17.0429, -18.3036, 99.8897018433, 45.1238, 1.00523, -85.2329, 103.769119263, 29.0804, -8.54855, -95.1172, 96.0012817383, 4.85249, -9.7209, -91.4096, 87.0824813843, -31.3621, -13.8587, -76.1989
1, 60.7466850281, -20.6645, -44.4958, -30.1505, 95.5056686401, -41.4978, 4.12936, -82.2864, 100.626777649, -11.0569, 0.717972, -96.176, 96.1002807617, 21.0526, -7.59926, -89.4354, 88.1083145142, 47.8196, -25.7243, -64.8207, 69.5922241211, 60.6905, 17.0027, -18.2935, 99.8862915039, 45.1434, 0.919235, -85.2207, 103.781486511, 29.0698, -8.60434, -95.126, 96.0230178833, 4.83459, -9.76611, -91.4248, 87.1153945923, -31.3962, -13.887, -76.21
1, 60.7464904785, -20.7271, -44.602, -29.9498, 95.5135040283, -41.5204, 4.04013, -82.2846, 100.66885376, -11.092, 0.704056, -96.2126, 96.1490020752, 21.0134, -7.62305, -89.4945, 88.1860656738, 47.9336, -25.569, -64.8899, 69.5394592285, 60.6589, 16.951, -18.2935, 99.8847885132, 45.1773, 0.825836, -85.2024, 103.796951294, 29.0528, -8.65591, -95.1394, 96.054649353, 4.80193, -9.79697, -91.4494, 87.1437225342, -31.4223, -13.9161, -76.2209
1, 60.746295929, -20.7936, -44.7054, -29.7488, 95.5210800171, -41.5128, 3.97321, -82.2962, 100.73324585, -11.0643, 0.807922, -96.2692, 96.2009658813, 20.9887, -7.63864, -89.5528, 88.2517623901, 48.0152, -25.4573, -64.9568, 69.4677886963, 60.6092, 16.9029, -18.2971, 99.8830337524, 45.2072, 0.716064, -85.1862, 103.826034546, 29.0054, -8.67918, -95.1741, 96.1054000854, 4.73233, -9.79474, -91.4932, 87.1838226318, -31.4748, -13.9311, -76.2329
1, 60.7461242676, -20.8276, -44.801, -29.5806, 95.5306396484, -41.4731, 3.94252, -82.3239, 100.783905029, -11.0335, 0.902283, -96.319, 96.2622146606, 21.0393, -7.53065, -89.6102, 88.2978668213, 48.0689, -25.379, -65.0117, 69.4272460938, 60.6024, 16.8062, -18.285, 99.8825836182, 45.2681, 0.573441, -85.1544, 103.859405518, 28.9727, -8.71432, -95.2068, 96.1673583984, 4.67814, -9.78435, -91.5453, 87.2100601196, -31.4844, -13.9563, -76.2504
1, 60.7447662354, -20.8331, -44.9031, -29.4199, 95.5440444946, -41.4058, 3.93771, -82.3666, 100.841064453, -10.9688, 1.05162, -96.3764, 96.3268203735, 21.1165, -7.36836, -89.6695, 88.363822937, 48.2061, -25.1814, -65.0683, 69.3996582031, 60.6154, 16.6925, -18.2568, 99.8896636963, 45.3254, 0.443359, -85.1281, 103.902046204, 28.949, -8.75339, -95.2426, 96.2198638916, 4.65652, -9.80794, -91.5868, 87.2401733398, -31.484, -13.9835, -76.275
1, 60.7413063049, -20.8503, -44.9908, -29.2691, 95.5589599609, -41.3239, 3.97246, -82.4162, 100.889266968, -10.9133, 1.1812, -96.4275, 96.374961853, 21.1562, -7.28067, -89.7196, 88.4375915527, 48.3678, -24.9778, -65.1152, 69.3765182495, 60.6253, 16.5806, -18.2494, 99.9045944214, 45.3163, 0.370773, -85.1403, 103.930809021, 28.9176, -8.82607, -95.2692, 96.2721939087, 4.608, -9.826, -91.6301, 87.2952880859, -31.5489, -13.9859, -76.297
1, 60.7373123169, -20.87, -45.1272, -29.039, 95.5793228149, -41.2637, 3.89169, -82.4645, 100.918151855, -10.9558, 1.04875, -96.4582, 96.4447479248, 21.2416, -7.25481, -89.7678, 88.5022735596, 48.4969, -24.8907, -65.135, 69.3637695312, 60.6339, 16.4721, -18.2703, 99.9153671265, 45.2513, 0.286987, -85.1796, 103.948394775, 28.8703, -8.95905, -95.2872, 96.3393173218, 4.49847, -9.83417, -91.6886, 87.3440093994, -31.6369, -14.0187, -76.3001
1, 60.7516784668, -21.0189, -45.2387, -28.7754, 95.5927200317, -41.2425, 3.68806, -82.496, 100.955474854, -10.9837, 0.854538, -96.4962, 96.5220718384, 21.3258, -7.29883, -89.8176, 88.5513458252, 48.5517, -24.952, -65.1401, 69.335723877, 60.6355, 16.3465, -18.2861, 99.9246292114, 45.2001, 0.168747, -85.2102, 103.973960876, 28.8517, -9.12148, -95.2992, 96.4020233154, 4.42947, -9.89607, -91.7375, 87.3920822144, -31.6968, -14.095, -76.3063
1, 60.776714325, -21.2684, -45.2645, -28.5863, 95.6067428589, -41.274, 3.61705, -82.4951, 101.016334534, -10.9584, 0.932999, -96.5498, 96.586807251, 21.3441, -7.25525, -89.8799, 88.5876312256, 48.524, -24.9986, -65.196, 69.3201370239, 60.6552, 16.2085, -18.2887, 99.9256439209, 45.1923, -0.0247192, -85.2141, 104.011329651, 28.8143, -9.25616, -95.3272, 96.4330978394, 4.4056, -10.0269, -91.7544, 87.4327468872, -31.7416, -14.1701, -76.3122
1, 60.8075218201, -21.5482, -45.2429, -28.4582, 95.6231994629, -41.3046, 3.62891, -82.4935, 101.077102661, -10.9418, 1.13115, -96.6051, 96.6477661133, 21.3533, -7.08971, -89.9544, 88.6419754028, 48.5886, -24.7907, -65.2991, 69.2965774536, 60.6759, 16.0315, -18.2957, 99.919631958, 45.2028, -0.324326, -85.2038, 104.039360046, 28.7723, -9.47145, -95.3431, 96.4758834839, 4.34555, -10.1655, -91.7814, 87.5083694458, -31.8568, -14.1956, -76.327
1, 60.8367652893, -21.8094, -45.2354, -28.3155, 95.6412963867, -41.2927, 3.65096, -82.514, 101.125205994, -10.9232, 1.21532, -96.6531, 96.7032318115, 21.3809, -7.00754, -90.0121, 88.6905822754, 48.6446, -24.6923, -65.3609, 69.2618331909, 60.6744, 15.9003, -18.2996, 99.9187774658, 45.2087, -0.577515, -85.1983, 104.06212616, 28.7354, -9.67397, -95.3546, 96.5329055786, 4.2616, -10.2659, -91.823, 87.5547180176, -31.9296, -14.2671, -76.3291
1, 60.8904838562, -22.328, -45.0951, -28.2162, 95.6619491577, -41.2117, 3.72758, -82.5683, 101.15562439, -10.9103, 1.23602, -96.6897, 96.7453308105, 21.4175, -6.99632, -90.0523, 88.7325973511, 48.7047, -24.6557, -65.3897, 69.2405700684, 60.6748, 15.7865, -18.3143, 99.9188308716, 45.2128, -0.825867, -85.1941, 104.069831848, 28.7099, -9.90218, -95.3491, 96.5713653564, 4.189, -10.4004, -91.8476, 87.6073226929, -32.0247, -14.3482, -76.3245
1, 60.9320487976, -22.7547, -44.9995, -28.099, 95.6812973022, -41.1798, 3.78333, -82.599, 101.184288025, -10.9511, 1.24312, -96.7177, 96.796257019, 21.4535, -6.93112, -90.1019, 88.7718505859, 48.7327, -24.6255, -65.4359, 69.212348938, 60.6424, 15.7845, -18.2979, 99.9214324951, 45.1937, -0.957916, -85.204, 104.075813293, 28.6878, -10.0545, -95.3484, 96.6215133667, 4.11097, -10.4314, -91.8925, 87.6417312622, -32.0845, -14.4381, -76.3179
1, 58.4988365173, -31.3917, -38.6687, -30.0518, 97.6167297363, -37.7844, 5.8325, -93.1714, 105.964233398, -10.9017, 4.12044, -108.497, 101.9192276, 22.5653, -2.40912, -102.258, 91.4757080078, 49.8026, -18.2168, -77.7011, 67.62940979, 58.8018, 12.997, -19.8645, 99.2493515015, 43.791, -0.0897217, -85.2417, 103.621299744, 26.8596, -9.50203, -95.6535, 96.9340362549, 1.75751, -9.07292, -92.6813, 88.89793396, -35.4077, -13.631, -76.6388
1, 58.5288963318, -31.5716, -38.5545, -30.0729, 97.6257324219, -37.775, 5.8945, -93.1795, 105.949119568, -10.942, 4.05641, -108.488, 101.926322937, 22.6165, -2.24097, -102.26, 91.4814453125, 49.8404, -18.1301, -77.6993, 67.6433181763, 58.8123, 12.9761, -19.8796, 99.2448196411, 43.7938, -0.0534821, -85.2358, 103.617500305, 26.8447, -9.43233, -95.6613, 96.9338607788, 1.74355, -8.99568, -92.6888, 88.8866958618, -35.4077, -13.5819, -76.6413
1, 58.5597839355, -31.6611, -38.4872, -30.0887, 97.6767425537, -37.7603, 5.93164, -93.1852, 106.003730774, -10.9321, 4.09329, -108.487, 101.977310181, 22.636, -2.12183, -102.261, 91.5269546509, 49.8678, -18.0324, -77.7011, 67.6749725342, 58.8371, 12.9356, -19.8947, 99.2449951172, 43.7944, 0.00848389, -85.2351, 103.613113403, 26.8341, -9.36417, -95.6674, 96.9310836792, 1.73089, -8.92828, -92.6937, 88.8803939819, -35.4106, -13.522, -76.6474
1, 58.549533844, -31.7552, -38.4051, -30.1021, 97.675201416, -37.7351, 5.98405, -93.1924, 106.034301758, -10.849, 4.27972, -108.507, 101.977073669, 22.6307, -2.06203, -102.268, 91.5084686279, 49.8347, -17.9886, -77.7169, 67.6798629761, 58.8495, 12.9093, -19.8878, 99.2444076538, 43.8141, 0.032608, -85.2239, 103.612510681, 26.8419, -9.31703, -95.6689, 96.9279708862, 1.73791, -8.88873, -92.6952, 88.8820877075, -35.4069, -13.4562, -76.6621
1, 58.5726623535, -31.8783, -38.2969, -30.1186, 97.7370605469, -37.7377, 6.07468, -93.1949, 106.117073059, -10.7868, 4.47296, -108.524, 102.017974854, 22.5565, -2.10672, -102.278, 91.5498123169, 49.8726, -17.8208, -77.7217, 67.6830596924, 58.8616, 12.8839, -19.8798, 99.2448654175, 43.8375, 0.0687561, -85.2118, 103.608627319, 26.8564, -9.2796, -95.6652, 96.9294433594, 1.75365, -8.83124, -92.7011, 88.8825454712, -35.394, -13.394, -76.6794
1, 58.5047416687, -31.8152, -38.3195, -30.0886, 97.7370223999, -37.7552, 6.10783, -93.188, 106.146232605, -10.7389, 4.64262, -108.543, 102.022689819, 22.5559, -2.03293, -102.285, 91.5218582153, 49.8009, -17.7815, -77.7516, 67.6904907227, 58.8766, 12.8547, -19.874, 99.2449645996, 43.8566, 0.0946655, -85.2019, 103.607818604, 26.8707, -9.24591, -95.6635, 96.9302978516, 1.76733, -8.78838, -92.7053, 88.8836669922, -35.3842, -13.343, -76.6938
1, 58.5340270996, -31.8751, -38.3365, -30.0212, 97.7915344238, -37.7516, 6.13463, -93.1915, 106.209815979, -10.719, 4.67764, -108.554, 102.088401794, 22.5921, -1.86485, -102.288, 91.5370483398, 49.6867, -17.8273, -77.7845, 67.6954650879, 58.8879, 12.8328, -19.8677, 99.2457885742, 43.8717, 0.121475, -85.1942, 103.608016968, 26.8832, -9.20927, -95.6633, 96.9319000244, 1.77757, -8.74515, -92.7101, 88.8837432861, -35.3753, -13.2956, -76.7063
1, 58.4884643555, -31.8303, -38.3749, -29.9723, 97.8015670776, -37.7544, 6.18806, -93.1952, 106.210090637, -10.7424, 4.68896, -108.556, 102.084877014, 22.5382, -1.86743, -102.3, 91.5111312866, 49.5697, -17.8891, -77.8191, 67.6952896118, 58.8948, 12.8183, -19.8583, 99.2481536865, 43.8831, 0.14621, -85.1891, 103.610145569, 26.8891, -9.17566, -95.6656, 96.9333724976, 1.7841, -8.70718, -92.7143, 88.8839187622, -35.3695, -13.2519, -76.7168
1, 58.532081604, -31.9283, -38.3705, -29.9043, 97.8626251221, -37.783, 6.1989, -93.1918, 106.272567749, -10.7453, 4.7009, -108.564, 102.132659912, 22.4517, -1.92683, -102.317, 91.5445785522, 49.4792, -17.9491, -77.8457, 67.6921691895, 58.8998, 12.8092, -19.8466, 99.2518768311, 43.8953, 0.171982, -85.1845, 103.612075806, 26.8941, -9.1454, -95.6676, 96.9366912842, 1.78732, -8.67056, -92.7196, 88.8860473633, -35.3661, -13.2069, -76.728
1, 58.4868927002, -31.8608, -38.4424, -29.8338, 97.8602676392, -37.8322, 6.16795, -93.1751, 106.26285553, -10.8193, 4.61449, -108.558, 102.120849609, 22.3371, -2.01622, -102.333, 91.5441513062, 49.4483, -17.9394, -77.8604, 67.691192627, 58.9065, 12.7889, -19.8399, 99.2566299438, 43.9015, 0.191696, -85.1834, 103.619087219, 26.8881, -9.11346, -95.6755, 96.9487609863, 1.77403, -8.62523, -92.7311, 88.8880996704, -35.3685, -13.1644, -76.7362
1, 58.5299568176, -31.9111, -38.4787, -29.7602, 97.9144058228, -37.8783, 6.16286, -93.1614, 106.307785034, -10.8848, 4.49948, -108.552, 102.153358459, 22.1832, -2.15759, -102.35, 91.5788269043, 49.4086, -17.8986, -77.8789, 67.6925964355, 58.9151, 12.7439, -19.8504, 99.2608108521, 43.9012, 0.202637, -85.1854, 103.626853943, 26.876, -9.09125, -95.6846, 96.9540634155, 1.76497, -8.60173, -92.7366, 88.8939971924, -35.3794, -13.1214, -76.7433
